12 9
255,255,255 172,172,172 219,219,219 190,190,190 181,181,181 179,179,179 177,177,177 184,184,184 255,255,255
236,236,236 206,206,206 0,0,0 0,0,0 14,14,14 4,4,4 255,255,255 206,206,206 242,242,242
255,255,255 0,0,0 0,0,0 255,255,255 230,230,230 0,0,0 4,4,4 184,184,184 255,255,255
0,0,0 10,10,10 255,255,255 255,255,255 246,246,246 255,255,255 0,0,0 0,0,0 255,255,255
0,0,0 0,0,0 255,255,255 255,255,255 246,246,246 241,241,241 13,13,13 0,0,0 248,248,248
14,14,14 0,0,0 250,250,250 249,249,249 255,255,255 255,255,255 0,0,0 9,9,9 254,254,254
0,0,0 7,7,7 255,255,255 181,181,181 194,194,194 190,190,190 0,0,0 0,0,0 255,255,255
0,0,0 0,0,0 255,255,255 201,201,201 255,255,255 248,248,248 1,1,1 12,12,12 239,239,239
0,0,0 0,0,0 252,252,252 188,188,188 255,255,255 240,240,240 1,1,1 0,0,0 251,251,251
255,255,255 0,0,0 8,8,8 196,196,196 183,183,183 7,7,7 12,12,12 191,191,191 241,241,241
179,179,179 213,213,213 0,0,0 2,2,2 5,5,5 0,0,0 243,243,243 196,196,196 196,196,196
255,255,255 255,255,255 255,255,255 254,254,254 242,242,242 218,218,218 249,249,249 192,192,192 250,250,250
