12 9
255,255,255 187,187,187 218,218,218 193,193,193 205,205,205 175,175,175 175,175,175 196,196,196 254,254,254
3,3,3 0,0,0 244,244,244 243,243,243 255,255,255 255,255,255 8,8,8 0,0,0 247,247,247
2,2,2 0,0,0 255,255,255 249,249,249 251,251,251 241,241,241 0,0,0 0,0,0 255,255,255
4,4,4 0,0,0 250,250,250 255,255,255 242,242,242 255,255,255 3,3,3 0,0,0 255,255,255
9,9,9 5,5,5 248,248,248 243,243,243 255,255,255 240,240,240 15,15,15 8,8,8 242,242,242
0,0,0 0,0,0 255,255,255 255,255,255 253,253,253 255,255,255 0,0,0 0,0,0 255,255,255
0,0,0 7,7,7 255,255,255 181,181,181 201,201,201 190,190,190 0,0,0 1,1,1 246,246,246
0,0,0 0,0,0 255,255,255 188,188,188 233,233,233 255,255,255 0,0,0 12,12,12 248,248,248
0,0,0 0,0,0 252,252,252 207,207,207 255,255,255 255,255,255 0,0,0 0,0,0 255,255,255
255,255,255 0,0,0 8,8,8 176,176,176 171,171,171 8,8,8 10,10,10 192,192,192 232,232,232
179,179,179 213,213,213 0,0,0 11,11,11 1,1,1 10,10,10 236,236,236 185,185,185 197,197,197
255,255,255 255,255,255 255,255,255 242,242,242 255,255,255 181,181,181 247,247,247 211,211,211 251,251,251
